sample,Total-reads,Mapped-reads,Unmapped-reads,Uniquely-mapped-reads,Multiple-mapped-reads,Unmapped-reads/Mapped-reads ratio, Uniquely-mapped-reads/Multiple-mapped-reads ratio,Q30-pct,Sense/anti-sense ratio,Orientation,Exonic/Intronic ratio,Library-size (Mil),Uniquely-Mapped-NonDupeReads,dataset
AL4,97119020,97119020,0,84981662,12137358,0.00,7.00,96.39,-64.62,RF,7.61,72.0,NA,ASC38
AL6,71491030,71491030,0,60512356,10978674,0.00,5.51,96.11,-57.89,RF,5.56,49.6,NA,ASC38
AL8,88519827,88519827,0,81469744,7050083,0.00,11.56,95.89,-99.61,RF,34.69,75.8,NA,ASC38
AL7,52210638,52210638,0,45646115,6564523,0.00,6.95,95.48,-54.52,RF,8.17,38.9,NA,ASC38
AL1,82948220,82948220,0,69096160,13852060,0.00,4.99,96.38,-92.16,RF,44.12,64.6,NA,ASC38
AL2,98021802,98021802,0,84635600,13386202,0.00,6.32,96.37,-77.12,RF,40.82,79.0,NA,ASC38
AL3,114402235,114402235,0,103545716,10856519,0.00,9.54,96.56,-58.45,RF,34.99,95.2,NA,ASC38
AN11,96980398,96980398,0,87615024,9365374,0.00,9.36,97.26,-87.03,RF,52.46,81.7,NA,ASC40
AN9,127155024,127155024,0,118027311,9127713,0.00,12.93,96.97,-82.65,RF,36.40,109.8,NA,ASC40
AN12,78726727,78726727,0,71867927,6858800,0.00,10.48,97.22,-86.90,RF,39.22,66.7,NA,ASC40
AN10,106679393,106679393,0,97119861,9559532,0.00,10.16,97.15,-68.83,RF,47.98,90.2,NA,ASC40
AR2,113293628,113293628,0,104924971,8368657,0.00,12.54,97.54,-65.42,RF,20.23,94.9,NA,ASC44
AR10,287541432,287541432,0,266749155,20792277,0.00,12.83,97.57,-74.44,RF,25.40,244.1,NA,ASC44
AR3,106369550,106369550,0,90176231,16193319,0.00,5.57,97.69,-65.76,RF,23.38,82.0,NA,ASC44
AR8,65017816,65017816,0,60246838,4770978,0.00,12.63,96.95,-76.78,RF,25.97,55.2,NA,ASC44
AR6,123570521,123570521,0,115276093,8294428,0.00,13.90,97.62,-63.44,RF,17.56,103.7,NA,ASC44
AR5,83988736,83988736,0,78326406,5662330,0.00,13.83,97.59,-74.76,RF,20.29,71.0,NA,ASC44
AR7,113041761,113041761,0,105567192,7474569,0.00,14.12,97.51,-90.86,RF,41.04,98.0,NA,ASC44
AR9,129868348,129868348,0,102070180,27798168,0.00,3.67,97.59,-73.55,RF,24.04,93.1,NA,ASC44
AR4,94444710,94444710,0,85639646,8805064,0.00,9.73,97.60,-79.60,RF,25.18,78.2,NA,ASC44
AE4,109907029,109891458,15571,97957759,11933699,0.00,8.21,96.34,-84.49,RF,26.32,90.7,43474758.72,ASC30
AE10,103957505,103939934,17571,91957636,11982298,0.00,7.67,94.79,-67.52,RF,31.74,85.2,35514743,ASC30
AE2,92967207,92953846,13361,76166312,16787534,0.00,4.54,96.24,-65.81,RF,31.91,69.7,41787204.945,ASC30
