sample,Total-reads,Mapped-reads,Unmapped-reads,Uniquely-mapped-reads,Multiple-mapped-reads,Unmapped-reads/Mapped-reads ratio, Uniquely-mapped-reads/Multiple-mapped-reads ratio,Q30-pct,Sense/anti-sense ratio,Orientation,Exonic/Intronic ratio,Library-size (Mil),Uniquely-Mapped-NonDupeReads,dataset
BA10,84712463,84699808,12655,55617434,29082374,0.00,1.91,94.94,-80.00,RF,35.97,50.8,NA,p1
AG4,4738266,4736823,1443,3839346,897477,0.00,4.28,97.68,-30.98,RF,36.19,3.5,2914748.715,ASC31
AG15,16006021,16001765,4256,13648699,2353066,0.00,5.80,97.49,-27.82,RF,14.62,11.9,9822638.76,ASC31
AG2,22462141,22457170,4971,19131873,3325297,0.00,5.75,97.49,-27.69,RF,30.80,16.9,13159696.11,ASC31
AG10,7081302,7079460,1842,5935716,1143744,0.00,5.19,97.59,-23.94,RF,27.76,5.1,4306882,ASC31
AG5,4647166,4646050,1116,3994976,651074,0.00,6.14,97.45,-24.00,RF,32.07,3.5,3112422.355,ASC31
AG7,14386513,14382790,3723,12291154,2091636,0.00,5.88,97.45,-30.44,RF,15.97,10.8,9042226.9,ASC31
AG14,18103455,18098718,4737,15281497,2817221,0.00,5.42,97.43,-19.23,RF,28.49,13.2,10995766.94,ASC31
AG9,5622413,5620862,1551,4738557,882305,0.00,5.37,97.44,-23.69,RF,28.84,4.1,3633753.74,ASC31
AG8,14022892,14019140,3752,11796649,2222491,0.00,5.31,97.53,-23.42,RF,29.21,10.2,8497445.92,ASC31
AG1,5737189,5711055,26134,4730801,980254,0.00,4.83,93.84,-21.97,RF,22.11,4.1,3681450.85,ASC31
AG3,15287589,15283982,3607,13057358,2226624,0.00,5.86,97.24,-24.08,RF,30.84,11.5,9563807.465,ASC31
AG16,18949365,18943917,5448,16286843,2657074,0.00,6.13,97.51,-28.07,RF,28.93,14.5,11764749.76,ASC31
AG6,17820870,17816746,4124,15434009,2382737,0.00,6.48,97.27,-22.81,RF,31.85,13.7,11010264.77,ASC31
AG17,20880558,20875998,4560,18037119,2838879,0.00,6.35,97.60,-26.39,RF,28.19,16.0,12580729.36,ASC31
AG18,19484271,19479875,4396,16797801,2682074,0.00,6.26,97.58,-26.28,RF,28.45,14.9,11980805.665,ASC31
AG12,16483498,16478620,4878,14140382,2338238,0.00,6.05,97.66,-24.54,RF,28.21,12.5,10220493.225,ASC31
AG13,17158906,17155023,3883,14837678,2317345,0.00,6.40,97.47,-24.66,RF,30.35,13.2,10597974.09,ASC31
AG11,5848952,5847198,1754,4949850,897348,0.00,5.52,97.40,-24.08,RF,13.98,4.3,3688657.62,ASC31
